window_idx,src_ip,dst_ip,sport,dport,proto,ecn_ect0,ecn_ect1,ecn_ce,ecn_non,ratio_ect1,ratio_ce,flow_throughput_bps,flow_packet_count,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_min,iat_max,iat_mean,iat_std,flag_cwr,flag_ece,flag_psh,flag_rst,flag_syn,ratio_cwr,tcp_win_mean,label_is_attack
216,192.168.56.10,192.168.57.10,38164,5001,6,0,1355,86,0,0.9403192227619708,0.0596807772380291,17453392.0,1441,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0047271251678466,0.0006927576329973,0.0008785725869934,0,1441,32,0,0,0.0,502.0,0
216,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,3252,0.0,0.0,39388224.0,3252,1514,1514,1514.0,0.0,9.5367431640625e-07,0.007436990737915,0.0003072888401609,0.0006936038119193,0,0,991,0,0,0.0,502.0,0
216,192.168.57.10,192.168.56.10,5001,38164,6,0,1102,0,0,1.0,0.0,687648.0,1102,78,78,78.0,0.0,0.0,0.0050559043884277,0.0009059427436322,0.0010763673431125,477,498,0,0,0,0.4328493647912885,1343.467332123412,0
216,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1788,0.0,0.0,954080.0,1788,66,94,66.70022371364654,3.8170786519812254,0.0,0.0079610347747802,0.0005587594897372,0.0009873525094747,0,0,0,0,0,0.0,11317.558724832215,0
217,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2502,0.0,0.0,30304224.0,2502,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0103271007537841,0.0003995225220763,0.0009138635280926,0,0,1060,0,0,0.0,502.0,0
217,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1338,0.0,0.0,710880.0,1338,66,78,66.41255605381166,2.186428628655247,0.0,0.0104880332946777,0.0007473222337378,0.0012194057417691,0,0,0,0,0,0.0,5373.26307922272,0
217,192.168.56.10,192.168.57.10,38164,5001,6,0,1532,66,0,0.9586983729662076,0.0413016270337922,19354976.0,1598,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0042641162872314,0.0006245152981638,0.0008243366911106,0,1598,35,0,0,0.0,502.0,0
217,192.168.57.10,192.168.56.10,5001,38164,6,0,1204,0,0,1.0,0.0,751296.0,1204,78,78,78.0,0.0,0.0,0.0043630599975585,0.0008286932360997,0.0010248264334888,653,693,0,0,0,0.542358803986711,1343.3039867109635,0
217,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2887,0.0,0.0,34967344.0,2887,1514,1514,1514.0,0.0,9.5367431640625e-07,0.012995958328247,0.0003457993826598,0.000895055667225,0,0,978,0,0,0.0,502.0,0
217,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1601,0.0,0.0,850128.0,1601,66,78,66.37476577139287,2.0872804970360006,0.0,0.0130319595336914,0.000623515099287,0.0012398440509054,0,0,0,0,0,0.0,11318.238600874454,0
218,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1882,0.0,0.0,999840.0,1882,66,78,66.40807651434643,2.1749463741886004,0.0,0.011599063873291,0.0005315162601906,0.0010870385532161,0,0,0,0,0,0.0,11318.138150903294,0
